Entity,Code,Year,Population (historical estimates)
Marshall Islands,MHL,1919,62528
Montenegro,MNE,1969,520645
Spain,ESP,1963,31432768
Honduras,HND,1848,328794
Ethiopia,ETH,1914,17913285
Turkey,TUR,1953,23081587
Bangladesh,BGD,1905,26386946
Seychelles,SYC,1812,12522
Burkina Faso,BFA,1975,6154554
Taiwan,TWN,1878,2375789
Costa Rica,CRI,1812,58796
Niue,NIU,2004,1713
Dominica,DMA,1934,44411
Moldova,MDA,1803,712558
Tonga,TON,1978,91336
Moldova,MDA,1849,928762
Asia,NA,1910,1018997582
Morocco,MAR,1993,26155204
Kiribati,KIR,1858,21416
Georgia,GEO,1837,1252406
Syria,SYR,2015,17997411
Niue,NIU,2015,1610
Italy,ITA,1832,21791823
Bhutan,BTN,1812,392287
Marshall Islands,MHL,1951,13226
Chile,CHL,1929,4551838
Aruba,ABW,2012,102565
Guinea,GIN,2014,11150970
Netherlands,NLD,1801,2004651
Rwanda,RWA,1966,3321674
Netherlands,NLD,1904,5410979
Tonga,TON,1878,19560
Barbados,BRB,1807,81729
Burundi,BDI,2008,8126104
Nepal,NPL,2007,26382586
Guinea-Bissau,GNB,1911,318050
China,CHN,1807,340924881
Botswana,BWA,1824,110446
Martinique,MTQ,2014,381142
Turkey,TUR,1942,18548948
Azerbaijan,AZE,1905,1916010
Latvia,LVA,1849,946679
Bolivia,BOL,1933,2733488
Romania,ROU,1941,15753304
Montenegro,MNE,1825,136893
Central African Republic,CAF,1839,730195
Kazakhstan,KAZ,1869,3178064
Bosnia and Herzegovina,BIH,1877,1292257
United Kingdom,GBR,1908,44500831
Mauritius,MUS,1904,374140
Denmark,DNK,1908,2818993
Vanuatu,VUT,1946,46382
France,FRA,1962,46907043
Isle of Man,IMN,1967,52117
North Macedonia,MKD,1969,1698150
Syria,SYR,1905,1821170
Bulgaria,BGR,1942,6780455
North America,NA,1936,181766077
Guatemala,GTM,2001,11924941
France,FRA,1973,51979531
China,CHN,1969,805985941
Nauru,NRU,1833,1855
Asia,NA,1931,1196785984
Cambodia,KHM,1933,2870851
Chile,CHL,1990,13274617
Ireland,IRL,1846,7435227
Mexico,MEX,1833,6574426
Togo,TGO,1876,614315
Kiribati,KIR,1980,59296
Nepal,NPL,1929,5398124
Iceland,ISL,1928,106211
Micronesia (country),FSM,1883,22519
Fiji,FJI,2007,836185
New Caledonia,NCL,1955,67743
Bosnia and Herzegovina,BIH,1811,851806
Georgia,GEO,1804,1072178
Tuvalu,TUV,1903,3716
Syria,SYR,1940,2944664
Sao Tome and Principe,STP,1870,32359
Japan,JPN,1939,71289751
Cameroon,CMR,1837,2330189
Azerbaijan,AZE,1873,1429051
Switzerland,CHE,1925,3934064
Antigua and Barbuda,ATG,1930,31144
Liberia,LBR,1999,2699708
Bahrain,BHR,2018,1569440
South America,NA,1984,262410933
Nicaragua,NIC,1859,323626
Dominican Republic,DOM,2020,10847904
Cook Islands,COK,2020,17564
Tanzania,TZA,2002,35334790
Ireland,IRL,1986,3516423
Montenegro,MNE,1802,126582
Japan,JPN,1821,31007944
Romania,ROU,1986,23175055
United Kingdom,GBR,1964,53882751
Belarus,BLR,2015,9439424
Venezuela,VEN,1900,2697074
Eritrea,ERI,1947,782904
Mozambique,MOZ,1935,4651160
Tuvalu,TUV,1891,3510
Albania,ALB,1954,1382898
Croatia,HRV,1919,2940809
Cape Verde,CPV,1974,270228
Democratic Republic of Congo,COD,1851,8202274
Marshall Islands,MHL,1965,17282
Georgia,GEO,1913,2504367
Czechia,CZE,1948,8814485
Bahrain,BHR,1902,77171
Turkey,TUR,1916,14398115
Indonesia,IDN,1864,25331167
Serbia,SRB,1891,2206450
Brunei,BRN,1865,5823
Vanuatu,VUT,1829,30350
Bhutan,BTN,1844,347887
Jordan,JOR,1880,260305
Suriname,SUR,1894,93573
Sri Lanka,LKA,1974,13501931
Jordan,JOR,1892,266176
Nicaragua,NIC,1923,766839
Finland,FIN,1840,1446931
Maldives,MDV,1909,66215
Saint Kitts and Nevis,KNA,1934,38228
Afghanistan,AFG,1940,6703416
Iceland,ISL,1802,61428
Antigua and Barbuda,ATG,2014,92562
Laos,LAO,1884,994953
Niger,NER,1825,879001
Netherlands,NLD,1929,7716885
Tonga,TON,1943,38278
Brazil,BRA,1975,107216209
Malawi,MWI,1891,2141348
Tajikistan,TJK,1869,727570
Chad,TCD,1841,1717609
Netherlands,NLD,1863,3398611
Monaco,MCO,1805,7789
American Samoa,ASM,1910,7469
Netherlands Antilles,ANT,1800,17055
Saint Pierre and Miquelon,SPM,1992,6435
Croatia,HRV,1947,3758838
Uzbekistan,UZB,1851,2546920
Gambia,GMB,1971,478106
Guinea,GIN,1965,3801711
New Zealand,NZL,1812,132109
France,FRA,1859,37110539
Angola,AGO,1950,4548021
Niger,NER,2005,13624474
Grenada,GRD,1911,66234
Brunei,BRN,1981,200027
Cambodia,KHM,1860,2287099
Andorra,AND,1821,2677
Philippines,PHL,1860,4198186
El Salvador,SLV,1917,1236495
Albania,ALB,1878,654726
Haiti,HTI,1934,2642025
Samoa,WSM,1846,46931
San Marino,SMR,2006,29694
South Sudan,SSD,1854,1250408
United States,USA,1822,10569360
Mayotte,MYT,1990,94779
United States,USA,1979,227339321
Netherlands Antilles,ANT,1980,269526
Belgium,BEL,1968,9565591
Ireland,IRL,1914,4315941
Tajikistan,TJK,1853,630499
Qatar,QAT,1891,15627
Sri Lanka,LKA,1948,7617339
Asia,NA,1925,1140024531
Italy,ITA,1920,37132267
Malawi,MWI,1975,5384798
Ireland,IRL,1982,3453785
Puerto Rico,PRI,1964,2469568
Mexico,MEX,1998,96056313
Chad,TCD,1990,5963250
Cape Verde,CPV,1837,66669
Saudi Arabia,SAU,1999,20194531
Togo,TGO,1875,608387
Turkey,TUR,2003,66089402
Guinea-Bissau,GNB,1953,560362
Sudan,SDN,1874,4803709
Grenada,GRD,1903,63707
Greece,GRC,1979,9515743
Liberia,LBR,1948,893765
Dominica,DMA,1857,24496
Maldives,MDV,1873,56250
Hungary,HUN,1992,10358622
Syria,SYR,1829,1378129
Uzbekistan,UZB,2012,29449415
Armenia,ARM,1948,1310285
Uzbekistan,UZB,1944,5852683
Netherlands Antilles,ANT,1880,32100
Kazakhstan,KAZ,1899,4146984
Congo,COG,1881,593386
Nepal,NPL,1827,3986183
Seychelles,SYC,1836,13244
Solomon Islands,SLB,1934,79207
Vietnam,VNM,1990,67988855
Cape Verde,CPV,1843,71026
Seychelles,SYC,1983,68837
Rwanda,RWA,1957,2695818
Saint Vincent and the Grenadines,VCT,1862,32769
Ukraine,UKR,1827,11957068
Kiribati,KIR,1877,23330
Algeria,DZA,1907,5198076
Sierra Leone,SLE,1864,847429
Botswana,BWA,1971,646350
Oman,OMN,1913,415220
Spain,ESP,1874,16461539
Sweden,SWE,1946,6753085
Latvia,LVA,1997,2453310
Saint Vincent and the Grenadines,VCT,1935,54602
Netherlands,NLD,1903,5335661
Latvia,LVA,2006,2225063
Hungary,HUN,1909,7561439
Grenada,GRD,2013,108172
Algeria,DZA,1978,18102266
Dominica,DMA,1883,27536
Marshall Islands,MHL,1924,70141
Gabon,GAB,1879,359488
Peru,PER,1813,1300718
Belgium,BEL,1809,3331547
Benin,BEN,1813,636559
Nauru,NRU,2003,9990
Turks and Caicos Islands,TCA,2014,35371
Saint Vincent and the Grenadines,VCT,1864,33550
Somalia,SOM,1808,992338
Benin,BEN,1822,645886
Indonesia,IDN,1912,43702673
Mauritius,MUS,1803,64154
Belize,BLZ,1863,25860
Bahamas,BHS,1936,71240
Gambia,GMB,1987,831011
Tonga,TON,1851,18543
Romania,ROU,1920,12284840
Slovenia,SVN,1830,512728
Switzerland,CHE,1835,2159233
Fiji,FJI,1935,225343
Philippines,PHL,1928,11088394
Vietnam,VNM,1952,25976851
Wallis and Futuna,WLF,1977,9918
Democratic Republic of Congo,COD,1970,20011033
Central African Republic,CAF,1901,977652
Libya,LBY,1805,230747
Gabon,GAB,1936,387881
China,CHN,1967,762581176
Albania,ALB,1864,572378
Brazil,BRA,2006,188167353
Cambodia,KHM,1808,2090000
Nicaragua,NIC,1888,457312
North America,NA,1993,443652234
Bahamas,BHS,1961,115119
Albania,ALB,1923,964858
United Arab Emirates,ARE,1999,2966029
Kyrgyzstan,KGZ,1872,850784
Latvia,LVA,1836,766292
Chad,TCD,1813,1517022
Afghanistan,AFG,1992,14485543
Egypt,EGY,1943,17052103
Bonaire Sint Eustatius and Saba,BES,1957,7782
Denmark,DNK,1922,3305392
Tanzania,TZA,1809,3008880
Italy,ITA,1851,24614425
Iceland,ISL,1843,57593
Iceland,ISL,1914,91465
Cape Verde,CPV,2003,449925
Comoros,COM,2015,777435
Vanuatu,VUT,1859,40183
Italy,ITA,1923,37966783
South Korea,KOR,1919,10782444
Israel,ISR,1828,209954
Philippines,PHL,1980,47357741
Syria,SYR,1952,3591003
Western Sahara,ESH,1989,210071
Tunisia,TUN,1950,3605312
Brazil,BRA,1850,7233093
Guinea-Bissau,GNB,1824,217130
Afghanistan,AFG,1978,13341199
Kenya,KEN,1993,26136217
Belize,BLZ,1946,65064
Guatemala,GTM,1810,528719
Samoa,WSM,1986,160552
Iraq,IRQ,1882,1753796
Micronesia (country),FSM,1876,21715
United States,USA,1922,114537147
Barbados,BRB,1890,183138
Portugal,PRT,1923,6237828
Albania,ALB,1887,713582
Eswatini,SWZ,1957,316037
Europe,NA,2012,740362612
Nauru,NRU,1876,1919
Zambia,ZMB,1982,6265869
Namibia,"NAM",1941,432850
Somalia,SOM,1882,1490356
Nigeria,NGA,2014,176404931
Turks and Caicos Islands,TCA,1800,174
Togo,TGO,1963,1631758
Tuvalu,TUV,1926,4148
Benin,BEN,1810,636559
Uruguay,URY,1965,2694537
Oceania,NA,1964,17384629
Cayman Islands,CYM,1953,6318
Micronesia (country),FSM,1801,16416
Netherlands,NLD,1829,2600166
Rwanda,RWA,1953,2379688
United States,USA,1893,68743000
Iceland,ISL,1874,70673
Indonesia,IDN,1994,193917458
Slovakia,SVK,1880,2656093
Sri Lanka,LKA,1973,13252033
Philippines,PHL,1872,5022813
Tunisia,TUN,1806,821799
Romania,ROU,1888,10187247
Tanzania,TZA,1866,5372579
New Zealand,NZL,1944,1732846
Democratic Republic of Congo,COD,1822,5327758
Burundi,BDI,1894,1720024
Saint Kitts and Nevis,KNA,1836,22598
Sao Tome and Principe,STP,1833,24919
Argentina,ARG,1905,5641825
Mauritius,MUS,1963,717407
Venezuela,VEN,1927,3475706
Cape Verde,CPV,1878,110443
Jordan,JOR,2002,5317514
Iceland,ISL,1821,61153
Egypt,EGY,1865,6516328
Brazil,BRA,1813,3670143
Estonia,EST,1881,695025
Gabon,GAB,1932,369808
Sint Maarten (Dutch part),SXM,2009,33650
Poland,POL,1905,25221471
San Marino,SMR,1933,13286
Paraguay,PRY,1869,378964
Nauru,NRU,1986,8679
Greece,GRC,1945,7496355
India,IND,1881,263528141
Ghana,GHA,1816,2016034
Zimbabwe,ZWE,1843,746417
Syria,SYR,1871,1572047
Armenia,ARM,1981,3148096
Chad,TCD,1892,1899802
Oceania,NA,1991,27725243
Estonia,EST,2003,1372904
Cameroon,CMR,1871,3034225
Guatemala,GTM,2003,12500479
Tajikistan,TJK,1934,1305763
Western Sahara,ESH,1966,56630
Paraguay,PRY,1925,784073
Malawi,MWI,2010,14539609
Europe,NA,1921,458944944
Afghanistan,AFG,1929,7099916
World,OWID_WRL,1961,3091843506
Croatia,HRV,1906,2621709
Palau,PLW,1824,3951
Eritrea,ERI,1961,1033319
Cook Islands,COK,1981,17306
Malawi,MWI,1982,6565985
China,CHN,2018,1427647789
Canada,CAN,1985,25744807
Tajikistan,TJK,1906,1013153
Germany,DEU,1995,81138653
Anguilla,AIA,1963,6207
South Africa,ZAF,1996,42241007
Saudi Arabia,SAU,1813,2058699
Suriname,SUR,1999,465380
Croatia,HRV,1872,1940586
Japan,JPN,1894,41350296
Niger,NER,2011,17114770
Sint Maarten (Dutch part),SXM,1957,2321
Lithuania,LTU,1968,3070698
Montserrat,MSR,1987,10666
Ethiopia,ETH,1900,18027192
Lithuania,LTU,1983,3506550
Niger,NER,1811,852950
Mozambique,MOZ,1940,4998077
Peru,PER,1817,1309999
Central African Republic,CAF,1958,1457120
Saint Vincent and the Grenadines,VCT,1870,36035
Guyana,GUY,2006,746335
Lebanon,LBN,1870,470601
Peru,PER,1899,3653716
Egypt,EGY,1924,12873393
Myanmar,MMR,1892,7531276
Poland,POL,1893,23081071
Paraguay,PRY,1926,802338
Central African Republic,CAF,1896,1001146
Suriname,SUR,1960,287870
Belarus,BLR,1987,10026470
Benin,BEN,1933,1715172
North America,NA,1862,51970381
Samoa,WSM,1876,39003
Ethiopia,ETH,1970,28415080
Grenada,GRD,1968,94929
Djibouti,DJI,1974,205180
World,OWID_WRL,1988,5145425992
Seychelles,SYC,1932,30458
Kyrgyzstan,KGZ,1889,991826
Spain,ESP,2012,47063059
Philippines,PHL,1945,16401248
Samoa,WSM,1866,41870
Europe,NA,1898,399825784
Bahamas,BHS,1873,41715
Cambodia,KHM,1879,2485552
Cape Verde,CPV,2021,561901
Seychelles,SYC,1905,22458
Honduras,HND,1843,280523
Israel,ISR,2013,7734834
Argentina,ARG,1998,36063451
Kiribati,KIR,1916,27810
Bangladesh,BGD,1878,24098898
United States,USA,2000,281710914
Malawi,MWI,1904,2011454
North Macedonia,MKD,1843,479428
Trinidad and Tobago,TTO,1822,61167
Papua New Guinea,PNG,1932,829683
Nicaragua,NIC,1908,619333
Cote d'Ivoire,CIV,1954,2919713
Egypt,EGY,2008,79636081
Ecuador,ECU,1995,11455205
Eswatini,SWZ,1871,81626
Armenia,ARM,1856,573517
Malaysia,MYS,2008,27236003
Bulgaria,BGR,2021,6896655
Nicaragua,NIC,1948,1222419
Spain,ESP,1975,35879210
Netherlands Antilles,ANT,1950,173364
Mauritania,MRT,1963,928742
Fiji,FJI,1990,728575
Netherlands,NLD,1884,4218443
Benin,BEN,1842,746626
Canada,CAN,1926,9532213
Armenia,ARM,1938,1195898
Czechia,CZE,1909,9965000
Benin,BEN,1941,1926220
United States,USA,1829,12879737
Cuba,CUB,1856,1311771
Kyrgyzstan,KGZ,1949,1714999
Senegal,SEN,1914,1499336
Europe,NA,1955,577208734
Croatia,HRV,2015,4232874
Liberia,LBR,1819,313648
Australia,AUS,2004,19879654
Mali,MLI,1842,1475440
Pakistan,PAK,1825,13877407
Chile,CHL,1814,771447
Niue,NIU,1955,4690
Israel,ISR,2017,8243849
Nauru,NRU,1983,8163
Philippines,PHL,1857,4013476
Guinea,GIN,1863,1133014
Malaysia,MYS,1927,3900540
Eswatini,SWZ,1897,105859
Australia,AUS,1845,504755
Bangladesh,BGD,1967,59034250
Spain,ESP,1854,15189207
Vanuatu,VUT,1928,54364
United States,USA,1885,57744514
North Macedonia,MKD,1934,1088852
Mongolia,MNG,1846,644015
Central African Republic,CAF,1894,1009990
Iraq,IRQ,2001,24208178
New Zealand,NZL,1891,675784
Greece,GRC,1977,9254979
Iceland,ISL,1948,137635
Oman,OMN,1956,505888
Ireland,IRL,1946,2918895
Rwanda,RWA,1849,1486156
Cameroon,CMR,1803,1860054
Sri Lanka,LKA,1949,7786691
Bangladesh,BGD,1997,120160571
Hungary,HUN,1865,5713707
Netherlands Antilles,ANT,2015,318504
Cambodia,KHM,1910,3044297
Sao Tome and Principe,STP,1922,56760
Latvia,LVA,1882,1610640
Sri Lanka,LKA,1841,1850844
Syria,SYR,1850,1479045
Zambia,ZMB,1975,4943279
Asia,NA,1977,2499778004
Iran,IRN,1962,23071309
Kyrgyzstan,KGZ,1918,1288604
Niger,NER,1964,3802802
Turkmenistan,TKM,2017,5757667
Nicaragua,NIC,1812,186000
Austria,AUT,1896,5739804
China,CHN,1845,412000000
Sudan,SDN,1835,4385515
Turkmenistan,TKM,1873,594811
Palau,PLW,1806,3875
Mexico,MEX,1924,15488231
Ghana,GHA,1935,3898578
Slovenia,SVN,2001,1987457
Somalia,SOM,1816,1001670
Mongolia,MNG,1940,757802
Estonia,EST,1889,764966
Egypt,EGY,1969,33703127
Saint Kitts and Nevis,KNA,1965,49209
United Arab Emirates,ARE,2021,9991083
Indonesia,IDN,1925,50222778
Iceland,ISL,1862,67533
Armenia,ARM,1835,474064
Togo,TGO,1881,643279
Tonga,TON,1912,24017
Cyprus,CYP,1884,194569
Mongolia,MNG,1816,615154
Portugal,PRT,1973,8907928
Monaco,MCO,1885,17704
Equatorial Guinea,GNQ,1866,119713
Cambodia,KHM,2017,16009413
Peru,PER,1920,4759673
Mayotte,MYT,2014,233658
Angola,AGO,1878,3020828
Spain,ESP,1973,35069433
Algeria,DZA,1860,3134829
Japan,JPN,1968,102124002
Kuwait,KWT,1922,116221
San Marino,SMR,1804,5492
Brunei,BRN,1964,97819
Algeria,DZA,1866,3327104
Taiwan,TWN,1966,13322036
Burkina Faso,BFA,1822,1677255
Montenegro,MNE,1912,501997
Italy,ITA,1871,27947505
Eswatini,SWZ,1945,247476
Israel,ISR,1807,209954
Cape Verde,CPV,1866,94405
Guatemala,GTM,1960,4210751
Kazakhstan,KAZ,1882,3566533
Canada,CAN,1955,15673764
Kenya,KEN,1872,3823221
Namibia,"NAM",1866,139995
New Zealand,NZL,1968,2736821
South Africa,ZAF,1920,7489330
Europe,NA,1840,263485084
Central African Republic,CAF,1950,1326660
Sweden,SWE,1833,2948175
Belgium,BEL,1982,9889819
Fiji,FJI,1961,407244
Nicaragua,NIC,1899,533858
Timor,TLS,1894,315968
Vatican,VAT,1936,912
Syria,SYR,1821,1341522
Grenada,GRD,1955,81102
Taiwan,TWN,1894,2592405
Palestine,PSE,1920,348418
Pakistan,PAK,1881,16670938
Ecuador,ECU,1822,516734
Africa,NA,1919,149715052
France,FRA,1805,29546838
Vanuatu,VUT,1997,174917
Somalia,SOM,1831,1153578
Singapore,SGP,1987,2816974
El Salvador,SLV,1806,194210
Nicaragua,NIC,1981,3360142
Somalia,SOM,1843,1347891
Saint Lucia,LCA,1915,52841
Suriname,SUR,2008,517121
Denmark,DNK,1967,4831750
Mauritius,MUS,1946,461425
World,OWID_WRL,1863,1313556287
Bulgaria,BGR,1825,2236347
Ireland,IRL,1932,2891459
Belgium,BEL,1801,3258961
Svalbard and Jan Mayen,SJM,1830,643
Antigua and Barbuda,ATG,1813,37000
Wallis and Futuna,WLF,1975,9320
Senegal,SEN,1811,1009886
Oceania,NA,2011,37498324
Niue,NIU,2006,1667
Monaco,MCO,1840,9909
Estonia,EST,2010,1332103
French Polynesia,PYF,1973,122641
Georgia,GEO,1852,1436267
World,OWID_WRL,1984,4784011512
Chile,CHL,1945,5999741
Tanzania,TZA,1875,5319883
Niue,NIU,2007,1647
Zimbabwe,ZWE,1858,720843
North Korea,PRK,1929,7494745
Hong Kong,HKG,1931,861989
Hungary,HUN,1970,10366099
South Korea,KOR,1886,9445949
Vanuatu,VUT,1964,72116
Nepal,NPL,1888,5034205
Faeroe Islands,FRO,1810,1982
Georgia,GEO,1966,4446837
American Samoa,ASM,1830,3524
Malta,MLT,1958,312303
Hong Kong,HKG,1874,137988
Montenegro,MNE,1915,491749
Sierra Leone,SLE,1826,791130
Angola,AGO,1927,3163988
Burundi,BDI,1809,899097
Switzerland,CHE,1843,2266659
Madagascar,MDG,1990,11598647
Ecuador,ECU,1811,500000
Qatar,QAT,1903,16678
Costa Rica,CRI,1806,55821
Cyprus,CYP,1986,712335
Guinea-Bissau,GNB,1840,213031
Malawi,MWI,1960,3659980
Bolivia,BOL,1814,1031341
Burkina Faso,BFA,2014,17586029
Chad,TCD,1819,1557933
Tanzania,TZA,1836,4146166
Eritrea,ERI,1984,1946299
Cote d'Ivoire,CIV,1831,1068148
Georgia,GEO,1926,2819916
Falkland Islands,FLK,1971,1964
Burkina Faso,BFA,1848,1838668
Puerto Rico,PRI,2006,3623783
Tuvalu,TUV,1838,2726
Cameroon,CMR,1941,3701569
Lithuania,LTU,1992,3688103
Algeria,DZA,1955,9774280
Comoros,COM,2011,706578
Montenegro,MNE,2013,626342
Oman,OMN,1970,723842
Peru,PER,1931,5642656
Turkey,TUR,1825,10234073
Saint Helena,SHN,1958,5374
Rwanda,RWA,1824,991274
New Zealand,NZL,1825,100000
Trinidad and Tobago,TTO,1866,113935
Bhutan,BTN,1809,392287
Canada,CAN,1993,28547964
Yemen,YEM,2012,24473176
Germany,DEU,2011,80855629
Ireland,IRL,1868,5476391
Fiji,FJI,1993,754962
South Korea,KOR,1907,9416484
Algeria,DZA,1932,6627192
Aruba,ABW,1981,60561
Belize,BLZ,1847,25845
Cyprus,CYP,1874,185652
Tanzania,TZA,1986,22296282
Cape Verde,CPV,1993,366057
Croatia,HRV,1908,2668516
Saint Barthlemy,NA,1999,7196
Timor,TLS,2010,1093517
Bolivia,BOL,1886,1319794
North America,NA,1900,108262616
Philippines,PHL,1812,1979603
Angola,AGO,1971,6041239
Hungary,HUN,1872,5976861
Timor,TLS,1958,459150
Equatorial Guinea,GNQ,1874,126339
Kiribati,KIR,1917,27936
Nepal,NPL,1979,14676932
North Korea,PRK,1964,12282417
Cambodia,KHM,2016,15766290
Qatar,QAT,1991,487354
Japan,JPN,1827,31230535
Colombia,COL,2021,51265841
Djibouti,DJI,1930,48759
Cambodia,KHM,2000,12155241
Asia,NA,1970,2141866672
Pakistan,PAK,1992,113911126
Maldives,MDV,1818,42378
Mozambique,MOZ,2013,25560752
Libya,LBY,1851,272327
Malta,MLT,2001,396324
Benin,BEN,2005,7982223
Benin,BEN,1935,1763533
Mali,MLI,1964,5503750
Northern Mariana Islands,MNP,1960,9980
Gabon,GAB,1925,338516
Argentina,ARG,1826,592104
Guinea-Bissau,GNB,1964,641821
Russia,RUS,1912,72392469
Panama,PAN,1890,224914
Morocco,MAR,1819,2678317
Lesotho,LSO,1863,201247
China,CHN,2002,1307352256
Fiji,FJI,2021,902899
Honduras,HND,1921,797447
Benin,BEN,1889,1096041
Chad,TCD,1905,1755228
Mongolia,MNG,1853,650654
Tokelau,TKL,1994,1524
Kyrgyzstan,KGZ,1812,530343
Samoa,WSM,1945,74322
Brunei,BRN,1918,25982
India,IND,1849,234833664
Austria,AUT,1960,7070773
Maldives,MDV,1979,153276
Dominica,DMA,1881,27706
Brazil,BRA,1865,9098494
India,IND,1941,394407406
Gabon,GAB,1801,158227
Ukraine,UKR,1900,23477813
South Africa,ZAF,1871,3823375
Trinidad and Tobago,TTO,1916,372163
North America,NA,1984,395211695
Colombia,COL,1961,16567817
Azerbaijan,AZE,1966,4721528
Maldives,MDV,1968,109893
Togo,TGO,2006,5762881
Cape Verde,CPV,1936,196589
Dominica,DMA,1815,19950
Saudi Arabia,SAU,1926,2488779
Brunei,BRN,1960,81707
Norway,NOR,1934,2872461
Chile,CHL,1856,1567065
North Korea,PRK,1939,8838425
Croatia,HRV,1982,4645404
Bolivia,BOL,1941,2966057
Spain,ESP,1929,23214422
Kyrgyzstan,KGZ,1831,586451
World,OWID_WRL,1829,1158898384
Macao,MAC,1997,401353
Bhutan,BTN,1885,288461
Gabon,GAB,1986,850052
Eswatini,SWZ,1831,73095
Cape Verde,CPV,1906,158737
Saint Pierre and Miquelon,SPM,1982,6067
Mauritania,MRT,1857,294678
Africa,NA,1981,490003904
South Korea,KOR,1986,41265123
Afghanistan,AFG,1970,11173654
Nigeria,NGA,1808,12100860
World,OWID_WRL,1847,1262424720
Montserrat,MSR,2002,4431
Venezuela,VEN,1901,2730769
Mali,MLI,1837,1458750
Brazil,BRA,2000,174790339
North Macedonia,MKD,1912,896387
Nauru,NRU,2019,10764
Afghanistan,AFG,1834,3491585
Netherlands,NLD,1909,5804303
Barbados,BRB,1805,81729
Libya,LBY,1852,274083
Timor,TLS,1940,419345
Serbia,SRB,1839,2066320
Iraq,IRQ,1849,1244113
Georgia,GEO,1864,1602272
Nicaragua,NIC,1998,4910642
Zimbabwe,ZWE,1829,937846
Pakistan,PAK,1995,123776835
Palau,PLW,1938,6920
Somalia,SOM,1918,1616946
Mali,MLI,1981,7234725
South Korea,KOR,2013,50345720
Belarus,BLR,1866,3589657
Guyana,GUY,1966,664518
Azerbaijan,AZE,1879,1509822
Saint Barthlemy,NA,1983,3110
Portugal,PRT,1888,4937689
Macao,MAC,1988,320774
Yemen,YEM,1878,2844436
Northern Mariana Islands,MNP,1979,15640
Malaysia,MYS,1859,633307
Rwanda,RWA,1990,7288883
Greece,GRC,1992,10420226
Jordan,JOR,1860,276860
Taiwan,TWN,1987,19806742
North Macedonia,MKD,1951,1290417
Uruguay,URY,1917,1300383
Senegal,SEN,1808,1009886
Mexico,MEX,1996,93147045
Iran,IRN,1971,29281583
Cuba,CUB,1801,292989
Cayman Islands,CYM,2007,52280
Belarus,BLR,1848,3041746
Tunisia,TUN,2015,11179951
Colombia,COL,1889,3365909
Austria,AUT,1898,5858272
Oman,OMN,1815,313404
Singapore,SGP,2001,4077150
Burkina Faso,BFA,1950,4284455
Barbados,BRB,1959,230402
Eritrea,ERI,2003,2600972
North America,NA,1975,349891628
United States,USA,1936,134216250
Cameroon,CMR,1948,4158965
Estonia,EST,1836,405073
Brunei,BRN,1979,187596
Lebanon,LBN,1894,486330
Mexico,MEX,1814,6101316
Angola,AGO,1942,3940488
Faeroe Islands,FRO,1980,43339
Mauritius,MUS,1814,81868
Israel,ISR,1917,429240
Finland,FIN,1983,4862171
Ukraine,UKR,1829,12177526
Italy,ITA,1803,19171929
Austria,AUT,1938,6709160
Martinique,MTQ,1950,222003
Anguilla,AIA,1950,5122
Bolivia,BOL,1830,1184717
Cyprus,CYP,1945,469920
Afghanistan,AFG,1813,3280000
Kazakhstan,KAZ,1900,4183928
Hungary,HUN,1945,9277816
Kazakhstan,KAZ,1826,2156464
Albania,ALB,1805,408945
Dominican Republic,DOM,1931,1298797
Liechtenstein,LIE,1841,6736
Taiwan,TWN,1939,5653912
New Zealand,NZL,1834,86814
Niue,NIU,1999,1953
Jordan,JOR,1837,260747
Panama,PAN,1842,102490
Senegal,SEN,1941,2109541
Niger,NER,1957,3120419
United States,USA,1894,70088593
Mali,MLI,1972,6147464
Ecuador,ECU,1961,4674176
Bolivia,BOL,1873,1411598
Gambia,GMB,1930,221483
Guatemala,GTM,1907,1452835
Malaysia,MYS,1832,366962
Uruguay,URY,1825,63694
Israel,ISR,1838,209954
Kenya,KEN,1903,4011216
Sierra Leone,SLE,1979,3313506
Tonga,TON,1913,24228
Pakistan,PAK,1864,15603505
Yemen,YEM,1980,7941903
Sweden,SWE,1850,3461607
Cambodia,KHM,1854,2256671
Germany,DEU,1819,24488367
Solomon Islands,SLB,1850,78702
Zambia,ZMB,1913,1486814
Oceania,NA,1890,5179952
Timor,TLS,1968,548817
Cambodia,KHM,1940,3097842
New Zealand,NZL,1989,3360956
Asia,NA,1875,829543296
Iceland,ISL,1942,124541
South Africa,ZAF,1987,34297727
Greece,GRC,1842,2828696
Latvia,LVA,2009,2144784
Faeroe Islands,FRO,1971,39456
Tonga,TON,1900,20588
Seychelles,SYC,1800,12522
Andorra,AND,1826,2769
Saint Vincent and the Grenadines,VCT,1904,45521
Nepal,NPL,1945,6852015
Saint Lucia,LCA,1827,24000
Western Sahara,ESH,1992,231731
Morocco,MAR,1963,13478425
Peru,PER,1935,6018348
Malawi,MWI,1882,2120240
Paraguay,PRY,1868,380381
Laos,LAO,1931,872904
Niger,NER,1920,1643551
United Kingdom,GBR,1954,50890911
Bosnia and Herzegovina,BIH,1989,4507819
Democratic Republic of Congo,COD,1998,44849968
Bhutan,BTN,1957,207197
French Guiana,GUF,1993,129145
United States Virgin Islands,VIR,1956,29862
Djibouti,DJI,1856,40376
China,CHN,2017,1421021794
Tanzania,TZA,1883,5321141
Madagascar,MDG,1995,13475403
